Agency,Stage_of_Rulemaking,Title,RIN,Link
DOE/OAM,Final Rule Stage,Rescission of Obsolete Property Management Regulations,1991-AB73,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1991-AB73
DOE/OAM,Final Rule Stage,Intellectual Property Update,1991-AB82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1991-AB82
DOE/DSA,Proposed Rule Stage,Human Reliability Program,1992-AA44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1992-AA44
DOE/DSA,Proposed Rule Stage,Safeguarding of Restricted Data and Formerly Restricted Data by Federal Employees and Contractors,1992-AA48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1992-AA48
DOE/DSA,Proposed Rule Stage,Workplace Substance Abuse Programs at DOE Sites,1992-AA53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1992-AA53
DOE/DSA,Proposed Rule Stage,Nuclear Safety Management,1992-AA57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1992-AA57
DOE/DSA,Final Rule Stage,Nuclear Classification and Declassification,1992-AA49,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1992-AA49
DOE/NNSA,Proposed Rule Stage,Assistance to Foreign Atomic Energy Activities,1994-AA04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=1994-AA04
HHS/HRSA,Proposed Rule Stage,National Vaccine Injury Compensation Program: Revisions to the Vaccine Injury Table,0906-AB14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0906-AB14
HHS/FDA,Prerule Stage,Tobacco Product Standard for Characterizing Flavors in Cigars,0910-AI28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI28
HHS/FDA,Proposed Rule Stage,Food Standards: General Principles and Food Standards Modernization (Reopening of Comment Period),0910-AC54,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AC54
HHS/FDA,Proposed Rule Stage,Reporting Information Regarding Falsification of Data,0910-AC59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AC59
HHS/FDA,Proposed Rule Stage,Over-the-Counter (OTC) Drug Review--Cough/Cold (Antihistamine) Products,0910-AF31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AF31
HHS/FDA,Proposed Rule Stage,Over-the-Counter (OTC) Drug Review--Oral Health Care Products,0910-AF40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AF40
HHS/FDA,Proposed Rule Stage,Sunscreen Drug Products For Over-The-Counter-Human Use; Tentative Final Monograph,0910-AF43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AF43
HHS/FDA,Proposed Rule Stage,Label Requirement for Food That Has Been Refused Admission Into the United States,0910-AF61,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AF61
HHS/FDA,Proposed Rule Stage,Laser Products; Amendment to Performance Standard,0910-AF87,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AF87
HHS/FDA,Proposed Rule Stage,Electronic Submission of Labeling for Certain Home-Use Devices,0910-AG79,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AG79
HHS/FDA,Proposed Rule Stage,Pediatric Study Plan Requirements for New Drug and Biologics License Applications,0910-AG93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AG93
HHS/FDA,Proposed Rule Stage,Mammography Quality Standards Act; Amendments to Part 900 Regulations,0910-AH04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH04
HHS/FDA,Proposed Rule Stage,"Investigational New Drug Applications Requirements for Conventional Foods, Dietary Supplements, and Cosmetics",0910-AH07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH07
HHS/FDA,Proposed Rule Stage,National Standards for the Licensure of Wholesale Drug Distributors and Third-Party Logistics Providers,0910-AH11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH11
HHS/FDA,Proposed Rule Stage,Laboratory Accreditation for Analyses of Foods,0910-AH31,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH31
HHS/FDA,Proposed Rule Stage,Premarket Tobacco Product Applications and Recordkeeping Requirements,0910-AH44,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH44
HHS/FDA,Proposed Rule Stage,Repeal of Regulation Requiring an Approved New Drug Application for Drugs Sterilized by Irradiation,0910-AH47,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH47
HHS/FDA,Proposed Rule Stage,Amending Premarket Regulations That Require Multiple Copies and Specify Paper Copies to be Allowed in Electronic Format,0910-AH48,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH48
HHS/FDA,Proposed Rule Stage,Biologics License Applications and Master Files,0910-AH50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH50
HHS/FDA,Proposed Rule Stage,Institutional Review Board Waiver or Alteration of Informed Consent for Minimal Risk Clinical Investigations,0910-AH52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH52
HHS/FDA,Proposed Rule Stage,Medical Device De Novo Classification Process,0910-AH53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH53
HHS/FDA,Proposed Rule Stage,Post Approval Changes to Approved Applications,0910-AH55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH55
HHS/FDA,Proposed Rule Stage,Certain Requirements Regarding Prescription Drug Marketing (203 Amendment),0910-AH56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH56
HHS/FDA,Proposed Rule Stage,"Definition of the Term ""Biological Product""",0910-AH57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH57
HHS/FDA,Proposed Rule Stage,Current Good Manufacturing Practice for Positron Emission Tomography Drugs,0910-AH58,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH58
HHS/FDA,Proposed Rule Stage,Nonprescription Drug Product With an Additional Condition for Nonprescription Use,0910-AH62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH62
HHS/FDA,Proposed Rule Stage,"Radiological Health Regulations; Amendments to Records and Reports for Radiation Emitting Electronic Products; Amendments to Performance Standards for Diagnostic X-ray, Laser and Ultrasonic Products",0910-AH65,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH65
HHS/FDA,Proposed Rule Stage,Submission of Food and Drug Administration Import Data in the Automated Commercial Environment for Veterinary Devices,0910-AH66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH66
HHS/FDA,Proposed Rule Stage,Amendments and Repeal to Medical Device Software Regulations,0910-AH67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH67
HHS/FDA,Proposed Rule Stage,Medication Guides; Patient Medication Information,0910-AH68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH68
HHS/FDA,Proposed Rule Stage,Updating Public Information Regulations,0910-AH69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH69
HHS/FDA,Proposed Rule Stage,Streamling Provisions Requiring Disclosure to Commercial Customers and Receipt of Written Assurances From Commercial Customer is in Current Good Manufacturing Practice and Preventative Control; Human,0910-AH77,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH77
HHS/FDA,Proposed Rule Stage,Permanent Listing of Color Additive Lakes,0910-AH80,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH80
HHS/FDA,Proposed Rule Stage,"Amendments to the Final Rule Regarding the List of Bulk Drug Substances That Can Be Used to Compound Drug Products in Accordance With Section 503A of the Federal Food, Drug, and Cosmetic Act",0910-AH81,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH81
HHS/FDA,Proposed Rule Stage,Amendments to Registration of Food Facilities,0910-AH82,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH82
HHS/FDA,Proposed Rule Stage,Format and Content of Reports Intended to Demonstrate Substantial Equivalence,0910-AH89,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH89
HHS/FDA,Proposed Rule Stage,Testing Standards for Batteries and Battery Management Systems in Electronic Nicotine Delivery Systems,0910-AH90,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH90
HHS/FDA,Proposed Rule Stage,Requirements for Tobacco Product Manufacturing Practice,0910-AH91,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH91
HHS/FDA,Proposed Rule Stage,Revocation of the Test for Mycoplasma,0910-AH95,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH95
HHS/FDA,Proposed Rule Stage,Updated Regulations for Medical Gases,0910-AH96,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH96
HHS/FDA,Proposed Rule Stage,Harmonizing and Modernizing Regulation of Medical Device Quality Systems,0910-AH99,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH99
HHS/FDA,Proposed Rule Stage,Food Additives: Food Contact Substance Notification That Is No Longer Effective,0910-AI01,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI01
HHS/FDA,Proposed Rule Stage,Amendment to Add a New Method for the Analysis of Sulfites in Foods,0910-AI02,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI02
HHS/FDA,Proposed Rule Stage,Proposed Rule to Revise the Allowable Level of Fluoride Added to Bottled Water,0910-AI03,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI03
HHS/FDA,Proposed Rule Stage,"ENDS Safety Standards, including standards for Toxicants and Impurities in Nicotine, Propylene Glycol, and Vegetable Glycerin Used in E-Liquids; Tobacco Product Standard",0910-AI06,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI06
HHS/FDA,Proposed Rule Stage,Part 50 Protection of Human Subjects and Part 56 Institutional Review Boards,0910-AI07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI07
HHS/FDA,Proposed Rule Stage,Institutional Review Boards; Cooperative Research,0910-AI08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI08
HHS/FDA,Proposed Rule Stage,Responsibilities for the Initiation and Conduct of Clinical Investigations,0910-AI09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI09
HHS/FDA,Proposed Rule Stage,Revised Procedures for the Announcement of Approvals and Denials of Premarket Approval Applications and Humanitarian Device Exemptions,0910-AI10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI10
HHS/FDA,Proposed Rule Stage,Requirements for Determining Donor Eligibility and Donation Suitability of Blood and Blood Components Intended for Transfusion or for Further Manufacturing Use,0910-AI11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI11
HHS/FDA,Proposed Rule Stage,"Medical Devices; Hematology and Pathology Devices; Classification of Human Leukocyte, Neutrophil and Platelet Antigen or Antibody Tests",0910-AI12,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI12
HHS/FDA,Proposed Rule Stage,"Nutrient Content Claims, Definition of Term: Healthy",0910-AI13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI13
HHS/FDA,Proposed Rule Stage,Biologics Regulation Modernization,0910-AI14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI14
HHS/FDA,Proposed Rule Stage,Rule to Revoke Uses of Partially Hydrogenated Oils in Foods,0910-AI15,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI15
HHS/FDA,Proposed Rule Stage,French Dressing; Proposed Revocation of Standards of Identity,0910-AI16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI16
HHS/FDA,Proposed Rule Stage,Frozen Cherry Pie; Proposed Revocation of Standards of Identity,0910-AI17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI17
HHS/FDA,Proposed Rule Stage,Conditional Approval of New Animal Drugs,0910-AI18,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI18
HHS/FDA,Proposed Rule Stage,Abbreviated New Animal Drug Applications and Phased Review Process for New Animal Drug Applications,0910-AI19,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI19
HHS/FDA,Proposed Rule Stage,Streamlining Provisions Requiring Disclosure to Commercial Customers and Receipt of Written Assurances From Commercial Customers in the Foreign Supplier Verification Programs,0910-AI23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI23
HHS/FDA,Proposed Rule Stage,Streamlining Provisions Requiring Disclosure to Commercial Customers and Receipt of Written Assurance From Commercial Customers in the Current Good Manufacturing Practice and Preventive Control Animal,0910-AI24,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI24
HHS/FDA,Proposed Rule Stage,"The FDA Food Safety Modernization Act: Amendments to Exemption Provisions in the Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption Regulation",0910-AI25,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI25
HHS/FDA,Final Rule Stage,Postmarketing Safety Reporting Requirements for Human Drug and Biological Products,0910-AA97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AA97
HHS/FDA,Final Rule Stage,Import Tolerances for Residues of Unapproved New Animal Drugs in Food,0910-AF78,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AF78
HHS/FDA,Final Rule Stage,New Animal Drugs: Updating Tolerances for Residues of New Animal Drugs in Food,0910-AG17,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AG17
HHS/FDA,Final Rule Stage,"Direct-to-Consumer Prescription Drug Advertisements: Presentation of the Major Statement in Television and Radio Advertisements in a Clear, Conspicuous, Neutral Manner",0910-AG27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AG27
HHS/FDA,Final Rule Stage,"Food Labeling; Gluten-Free Labeling of Fermented, Hydrolyzed, or Distilled Foods",0910-AH00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH00
HHS/FDA,Final Rule Stage,"List of Bulk Drug Substances That Can Be Used to Compound Drug Products in Accordance With Section 503A of the Federal Food, Drug, and Cosmetic Act",0910-AH29,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH29
HHS/FDA,Final Rule Stage,Amendments to the Regulation Regarding the List of Drug Products That Have Been Withdrawn or Removed From the Market for Reasons of Safety or Effectiveness,0910-AH35,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH35
HHS/FDA,Final Rule Stage,Internal Agency Review of Decisions; Requests for Supervisory Review of Certain Decisions Made by the Center for Devices and Radiological Health,0910-AH37,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH37
HHS/FDA,Final Rule Stage,Food Labeling: Health Claims; Soy Protein and Coronary Heart Disease,0910-AH43,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH43
HHS/FDA,Final Rule Stage,Postmarketing Safety Reports for Approved New Animal Drugs; Electronic Submission Requirements,0910-AH51,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH51
HHS/FDA,Final Rule Stage,Revision of Product Jurisdiction Regulations,0910-AH71,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH71
HHS/FDA,Final Rule Stage,Medical Devices; Medical Device Classification Procedures: Incorporating FDA Safety and Innovation Act Procedures,0910-AH75,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH75
HHS/FDA,Final Rule Stage,"Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption, Extension of Compliance Dates for Subpart E",0910-AH93,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH93
HHS/FDA,Final Rule Stage,Topical Antimicrobial Drug Products for Over-the-Counter Human Use: Final Monograph for Consumer Antiseptic Rub Products,0910-AH97,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH97
HHS/FDA,Final Rule Stage,Microbiology Devices; Classification of In Vitro Diagnostic Devices for Bacillus Species Detection,0910-AH98,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AH98
HHS/FDA,Final Rule Stage,Classification of Posterior Cervical Screw Systems,0910-AI00,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI00
HHS/FDA,Final Rule Stage,Removal of Certain Time of Inspection and Duties of Inspector Regulations for Biological Products,0910-AI27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0910-AI27
HHS/IHS,Proposed Rule Stage,Removal of Suspended Regulations,0917-AA13,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0917-AA13
HHS/IHS,Proposed Rule Stage,Removal of Obsolete Portion of Regulation Relating to Care and Treatment of Ineligible Individuals,0917-AA14,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0917-AA14
HHS/IHS,Proposed Rule Stage,Calendar Year 2019 Reimbursement Rates,0917-AA16,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0917-AA16
HHS/IHS,Final Rule Stage,Catastrophic Health Emergency Fund (CHEF),0917-AA10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0917-AA10
HHS/CDC,Prerule Stage,"Possession, Use, and Transfer of Select Agents and Toxins; Biennial Review",0920-AA71,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0920-AA71
HHS/CDC,Proposed Rule Stage,Closed-Circuit Escape Respirators; Compliance Deadline Update,0920-AA67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0920-AA67
HHS/CDC,Proposed Rule Stage,Updates to Specifications for Medical Examination of Coal Miners; B Reader De-Certification and Reimbursement for Autopsies,0920-AA68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0920-AA68
HHS/CDC,Proposed Rule Stage,Development of Regulatory Requirements for Powered Air-Purifying Respirators (PAPRs) Intended for Use in Healthcare,0920-AA69,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0920-AA69
HHS/CDC,Proposed Rule Stage,Respirator Certification Fees; Fee Schedule Update,0920-AA70,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0920-AA70
HHS/CDC,Final Rule Stage,Clarification of Post-Approval Testing Standards for Closed-Circuit Escape Respirators,0920-AA66,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0920-AA66
HHS/NIH,Proposed Rule Stage,Privacy Act; Exempt Record System for NIH Division of Loan Repayment Records; Implementation,0925-AA62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0925-AA62
HHS/NIH,Proposed Rule Stage,National Cancer Institute Clinical Cancer Education Program,0925-AA65,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0925-AA65
HHS/SAMHSA,Proposed Rule Stage,Revising Outdated Requirements for Opioid Treatment Providers (OTPS),0930-AA27,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0930-AA27
HHS/SAMHSA,Proposed Rule Stage,Mental Health and Substance Abuse Emergency Response Procedures,0930-AA28,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0930-AA28
HHS/SAMHSA,Proposed Rule Stage,Confidential Communications,0930-AA30,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0930-AA30
HHS/SAMHSA,Proposed Rule Stage,Coordinating Care and Information Sharing in the Treatment of Substance Use Disorders,0930-AA32,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0930-AA32
HHS/SAMHSA,Final Rule Stage,Substance Abuse and Mental Health Services Administration Mandatory Guidelines for Federal Workplace Drug Testing Programs,0930-AA24,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0930-AA24
HHS/OIG,Prerule Stage,Request for Information Regarding the Anti-Kickback Statute and Beneficiary Inducements Civil Monetary Penalties,0936-AA10,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0936-AA10
HHS/OIG,Proposed Rule Stage,Removal of Safe Harbor Protection for Rebates to Plans or PBMs Involving Prescription Pharmaceuticals and Creation of New Safe Harbor Protection,0936-AA08,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0936-AA08
HHS/OIG,Proposed Rule Stage,Civil Monetary Penalties Law Notice of Proposed Rule Making,0936-AA09,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0936-AA09
HHS/OIG,Final Rule Stage,"Medicaid, Revisions to State Medicaid Fraud Control Unit Rules",0936-AA07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0936-AA07
HHS/OASH,Final Rule Stage,Compliance With Title X Requirements by Project Recipients in Selecting Subrecipients,0937-AA04,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0937-AA04
HHS/OASH,Final Rule Stage,Compliance With Statutory Program Integrity Requirements,0937-AA07,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0937-AA07
HHS/CMS,Prerule Stage,Request for Information: Accrediting Organizations: Conflict of Interest and Consulting Services (CMS-3367-NC),0938-AT84,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT84
HHS/CMS,Proposed Rule Stage,Prior Authorization Process as a Condition of Medicare Payment for Services Provided by Certain Chiropractors (CMS-6070-P),0938-AS68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AS68
HHS/CMS,Proposed Rule Stage,Conditions for Coverage for End-Stage Renal Disease Facilities--Third Party Payments (CMS-3337-P),0938-AT11,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT11
HHS/CMS,Proposed Rule Stage,"Regulatory Provisions to Promote Program Efficiency, Transparency, and Burden Reduction (CMS-3346-F)",0938-AT23,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT23
HHS/CMS,Proposed Rule Stage,"Requirements for Long-Term Care Facilities: Regulatory Provisions to Promote Program Efficiency, Transparency, and Burden Reduction (CMS-3347-P)",0938-AT36,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT36
HHS/CMS,Proposed Rule Stage,CY 2020 Notice of Benefit and Payment Parameters (CMS-9926-P),0938-AT37,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT37
HHS/CMS,Proposed Rule Stage,"Adoption of Standards for Health Care Attachments Transactions, Acknowledgments Transactions, Electronic Signatures, and Modification to Referral Certification and Authorization Standard (CMS-0053-P)",0938-AT38,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT38
HHS/CMS,Proposed Rule Stage,Medicaid and CHIP Managed Care (CMS-2408-P),0938-AT40,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT40
HHS/CMS,Proposed Rule Stage,Administrative Simplification: Rescinding the Adoption of the Standard Unique Health Plan Identifier and Other Entity Identifier (CMS-0054-P),0938-AT42,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT42
HHS/CMS,Proposed Rule Stage,Medicare Shared Savings Program; Accountable Care Organizations (CMS-1701-F),0938-AT45,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT45
HHS/CMS,Proposed Rule Stage,"Personnel, Proficiency Testing Referral, and Histocompatibility Requirement Updates (CMS-3326-P)",0938-AT47,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT47
HHS/CMS,Proposed Rule Stage,Grandfathered Health Plans in the Individual and Small Group Markets (CMS 9923 P ),0938-AT49,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT49
HHS/CMS,Proposed Rule Stage,Medicaid Fiscal Accountability (CMS 2393 P),0938-AT50,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT50
HHS/CMS,Proposed Rule Stage,Administrative Simplification: Update of Retail Pharmacy Standards (CMS-0055-P),0938-AT52,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT52
HHS/CMS,Proposed Rule Stage,Exchange Program Integrity (CMS-9922-P),0938-AT53,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT53
HHS/CMS,Proposed Rule Stage,Proficiency Testing Regulations Related to Analytes and Acceptable Performance (CMS-3355-P),0938-AT55,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT55
HHS/CMS,Proposed Rule Stage,Clinical Laboratory Improvement Amendments (CLIA) Fees (CMS-3356-P),0938-AT56,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT56
HHS/CMS,Proposed Rule Stage,Medicaid Premiums and Cost Sharing (CMS-2411-P),0938-AT57,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT57
HHS/CMS,Proposed Rule Stage,Policy and Technical Changes to the Medicare Advantage and the Medicare Prescription Drug Benefit Programs for Contract Year 2020 (CMS-4185-P),0938-AT59,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT59
HHS/CMS,Proposed Rule Stage,Civil Money Penalties and Exclusion Authority to Enforce 1150B Requirements (CMS-3359-P),0938-AT60,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT60
HHS/CMS,Proposed Rule Stage,"Changes to the Medicare Claims, Medicare Advantage Organization Determination, and Medicare Prescription Drug Coverage Determination Appeals Procedures (CMS-4174-F)",0938-AT62,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT62
HHS/CMS,Proposed Rule Stage,Modernizing and Clarifying the Physician Self-Referral Regulations (CMS-1720-P),0938-AT64,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT64
HHS/CMS,Proposed Rule Stage,FY 2020 Inpatient Rehabilitation Facility (IRF) Prospective Payment System Rate Update and Quality Reporting Requirements (CMS-1710-P),0938-AT67,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT67
HHS/CMS,Proposed Rule Stage,CY 2020 Home Health Prospective Payment System Rate Update and Quality Reporting Requirements (CMS-1711-P),0938-AT68,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=201810&RIN=0938-AT68
